user_id,application_id,user_type,sample_datetime,sample_month,sample_quarter,aus_new_worthiness_bid_3rdmodel_v1_0_20260429,duedate_1m_5,duedate_2m_5,duedate_1m_30,duedate_3m_30,duedate_4m_30,y_interest_income_1m,y_interest_income_2m,y_interest_income_3m,y_interest_income_4m,y_interest_income_5m,y_interest_income_6m,y_interest_income_7m,y_interest_income_8m,y_interest_income_9m,y_interest_income_10m,y_interest_income_11m,y_interest_income_12m
484583854.0,2284527.0,New,2/17/2026 4:44,2026-02,2026-Q1,0.125076456,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
484161241.0,2298943.0,New,2/26/2026 13:32,2026-02,2026-Q1,0.255833041,0.0,0.0,0.0,,,1.0,1.0,,,,,,,,,,
484202054.0,1885569.0,New,6/14/2025 11:18,2025-06,2025-Q2,0.352755434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
484514361.0,2012072.0,New,8/30/2025 9:15,2025-08,2025-Q3,0.322905612,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
484366658.0,1339215.0,New,5/22/2024 20:36,2024-05,2024-Q2,0.322477729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484052642.0,1876286.0,New,6/8/2025 17:40,2025-06,2025-Q2,0.324540479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
484319837.0,2026057.0,New,9/7/2025 10:55,2025-09,2025-Q3,0.419913912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
484394657.0,1492422.0,New,9/24/2024 15:07,2024-09,2024-Q3,0.200229693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484299324.0,1703394.0,New,2/21/2025 22:47,2025-02,2025-Q1,0.246429413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484074291.0,1779768.0,New,4/11/2025 10:04,2025-04,2025-Q2,0.397635296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484603100.0,2353518.0,New,4/1/2026 18:27,2026-04,2026-Q2,0.220937571,0.0,,0.0,,,,,,,,,,,,,,
484354978.0,1385432.0,New,6/29/2024 13:18,2024-06,2024-Q2,0.167585695,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
484573735.0,2250541.0,New,1/25/2026 10:18,2026-01,2026-Q1,0.261709662,0.0,1.0,0.0,1.0,,1.0,1.0,1.0,,,,,,,,,
484336481.0,1599699.0,New,12/7/2024 13:42,2024-12,2024-Q4,0.289380664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484309733.0,1379566.0,New,6/25/2024 10:46,2024-06,2024-Q2,0.122850458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484494968.0,1927769.0,New,7/10/2025 17:23,2025-07,2025-Q3,0.221339377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
484538402.0,2108915.0,New,10/27/2025 13:38,2025-10,2025-Q4,0.355956229,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,
484394570.0,2366066.0,New,4/8/2026 15:59,2026-04,2026-Q2,0.141124673,0.0,,,,,,,,,,,,,,,,
484331287.0,2185224.0,New,12/13/2025 20:38,2025-12,2025-Q4,0.392607468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
484265128.0,1628875.0,New,12/28/2024 16:47,2024-12,2024-Q4,0.39499593,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484394042.0,1488958.0,New,9/21/2024 20:51,2024-09,2024-Q3,0.275470631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
