primary_model_score_bin,bank_txn_industry_primary_industry,sample_cnt,sample_pct,duedate_3m_30_valid_cnt,duedate_3m_30_bad_cnt,duedate_3m_30_good_cnt,duedate_3m_30_bad_rate,duedate_1m_5_valid_cnt,duedate_1m_5_bad_cnt,duedate_1m_5_good_cnt,duedate_1m_5_bad_rate,duedate_3m_30_amount_overdue_amount,duedate_3m_30_amount_principal_amount,duedate_3m_30_amount_overdue_rate,duedate_1m_5_amount_overdue_amount,duedate_1m_5_amount_principal_amount,duedate_1m_5_amount_overdue_rate,avg_PTI,avg_requested_loan_amount,avg_total_amount,avg_gross_surplus,avg_net_surplus,avg_total_income,avg_bank_txn_industry_primary_industry_amt,avg_bank_txn_industry_pay_interval_median,avg_bank_txn_industry_pay_interval_std,avg_bank_txn_industry_primary_employer_ratio,avg_bank_txn_industry_employer_cnt,apply_cnt,completed_application_cnt,approved_application_cnt,auto_approved_application_cnt,manual_approved_application_cnt,deal_sample_cnt,completion_rate,approval_rate,auto_approval_rate,manual_approval_rate,auto_approval_share,manual_approval_share,deal_rate
1,Accommodation and Food Services,59,0.0009052134155696708,30,3,27,0.1,52,2,50,0.038461538461538464,1100.0,65780.0,0.016722408026755852,5455.45,65780.0,0.08293478260869565,0.05298037354792457,2553.813559322034,1459.8305084745762,1763.5120621468925,1389.763163841808,7522.797768361582,35228.194406779665,9.11864406779661,2.388539335508475,0.8848487500508473,1.6610169491525424,59,59,59,15,44,59,1.0,1.0,0.2542372881355932,0.7457627118644068,0.2542372881355932,0.7457627118644068,1.0
1,Bank-issued Payroll Distribution,229,0.003513455460431434,133,6,127,0.045112781954887216,219,8,211,0.0365296803652968,5397.73,296325.0,0.018215574116257485,25154.72,296325.0,0.08488895638235046,0.051534622343567274,2584.3886462882097,1451.7467248908297,2747.293500727802,2306.697292576419,9096.607983988355,44522.544672489086,8.213973799126638,2.4912025930438597,0.889226544978166,1.6200873362445414,229,229,229,77,152,229,1.0,1.0,0.33624454148471616,0.6637554585152838,0.33624454148471616,0.6637554585152838,1.0
1,Cleaning/Security/Property Management,108,0.0016570008285004142,62,6,56,0.0967741935483871,101,6,95,0.0594059405940594,9536.759999999998,149975.0,0.06358899816636104,9795.67,149975.0,0.0653153525587598,0.048563099235092916,2280.5555555555557,1587.2685185185185,2474.3136728395057,2050.638055555555,9201.014614197533,43447.135555555564,10.032407407407407,2.4948910566759257,0.8804124642777779,1.5925925925925926,108,108,108,37,71,108,1.0,1.0,0.3425925925925926,0.6574074074074074,0.3425925925925926,0.6574074074074074,1.0
1,Construction,334,0.00512442848814017,204,21,183,0.10294117647058823,322,13,309,0.040372670807453416,21872.44,438400.0,0.049891514598540146,22014.23,438400.0,0.05021494069343065,0.048439063406462965,2622.556886227545,1471.9311377245508,3240.9936726546907,2779.1869011976046,10321.535464071856,48571.66520958084,8.580838323353293,2.2379347933323355,0.8882023251047905,1.6077844311377245,334,334,334,102,232,334,1.0,1.0,0.30538922155688625,0.6946107784431138,0.30538922155688625,0.6946107784431138,1.0
1,Education and Training,124,0.0019024824327226978,57,4,53,0.07017543859649122,118,5,113,0.0423728813559322,5473.5,153225.0,0.03572197748409202,7333.45,153225.0,0.047860662424539076,0.04365116402888703,2721.7741935483873,1413.3064516129032,2211.669032258065,1844.3587499999999,8759.825645161287,38457.30685483871,9.669354838709678,2.4506323330403226,0.845902742967742,1.7258064516129032,124,124,124,42,82,124,1.0,1.0,0.3387096774193548,0.6612903225806451,0.3387096774193548,0.6612903225806451,1.0
1,Financial and Insurance Services,72,0.0011046672190002762,31,4,27,0.12903225806451613,69,4,65,0.057971014492753624,5695.790000000001,104790.0,0.054354327703025104,8051.500000000001,104790.0,0.0768346216242008,0.05372676138943443,3140.972222222222,1677.638888888889,2515.7687268518516,2062.233935185185,9132.045300925925,43382.59638888889,8.375,1.926228242875,0.8714117143611111,1.7222222222222223,72,72,72,23,49,72,1.0,1.0,0.3194444444444444,0.6805555555555556,0.3194444444444444,0.6805555555555556,1.0
1,Government/Public Administration,365,0.005600049096320845,179,10,169,0.055865921787709494,323,12,311,0.03715170278637771,15607.5,467575.0,0.03337967171042079,23715.93,467575.0,0.05072112495321606,0.04993417905334613,2662.2602739726026,1561.9178082191781,2423.979109589041,1985.072694063927,9436.885799086758,43591.3862739726,10.721917808219178,2.260132456572603,0.8848996995506849,1.5863013698630137,365,365,365,110,255,365,1.0,1.0,0.3013698630136986,0.6986301369863014,0.3013698630136986,0.6986301369863014,1.0
1,Health Care and Social Assistance,166,0.0025468716438061924,88,3,85,0.03409090909090909,153,5,148,0.032679738562091505,5369.110000000001,211525.0,0.02538286254579837,9407.07,211525.0,0.04447261553007919,0.04842114707625373,2743.0722891566265,1539.4578313253012,2385.8011144578313,1979.4393875502003,8851.277369477912,39469.246204819276,9.710843373493976,2.588092461319277,0.8408750898012048,1.8132530120481927,166,166,166,41,125,166,1.0,1.0,0.2469879518072289,0.7530120481927711,0.2469879518072289,0.7530120481927711,1.0
1,Labor Dispatch/Recruitment,136,0.0020865936358894104,80,10,70,0.125,129,12,117,0.09302325581395349,14152.18,201750.0,0.07014711276332095,24586.38,201750.0,0.12186557620817845,0.05387331243451332,2795.7720588235293,1630.1470588235295,2831.7283455882352,2359.25449754902,9357.755747549018,40404.02705882353,8.121323529411764,2.531265862264706,0.8209307370000001,2.014705882352941,136,136,136,48,88,136,1.0,1.0,0.35294117647058826,0.6470588235294118,0.35294117647058826,0.6470588235294118,1.0
1,Manufacturing,75,0.0011506950197919543,41,1,40,0.024390243902439025,71,2,69,0.028169014084507043,1538.46,105800.0,0.014541209829867676,0.0,105800.0,0.0,0.05748096491872603,2933.0,1557.3333333333333,1785.9686,1368.8927777777776,7558.146555555554,35860.34453333333,8.873333333333333,2.2407484206,0.91297931688,1.5466666666666666,75,75,75,23,52,75,1.0,1.0,0.30666666666666664,0.6933333333333334,0.30666666666666664,0.6933333333333334,1.0
