primary_model_score_bin,attributed_category,sample_cnt,sample_pct,duedate_3m_30_valid_cnt,duedate_3m_30_bad_cnt,duedate_3m_30_good_cnt,duedate_3m_30_bad_rate,duedate_1m_5_valid_cnt,duedate_1m_5_bad_cnt,duedate_1m_5_good_cnt,duedate_1m_5_bad_rate,duedate_3m_30_amount_overdue_amount,duedate_3m_30_amount_principal_amount,duedate_3m_30_amount_overdue_rate,duedate_1m_5_amount_overdue_amount,duedate_1m_5_amount_principal_amount,duedate_1m_5_amount_overdue_rate,avg_PTI,avg_requested_loan_amount,avg_total_amount,avg_gross_surplus,avg_net_surplus,avg_total_income,avg_bank_txn_industry_primary_industry_amt,avg_bank_txn_industry_pay_interval_median,avg_bank_txn_industry_pay_interval_std,avg_bank_txn_industry_primary_employer_ratio,avg_bank_txn_industry_employer_cnt,apply_cnt,completed_application_cnt,approved_application_cnt,auto_approved_application_cnt,manual_approved_application_cnt,deal_sample_cnt,completion_rate,approval_rate,auto_approval_rate,manual_approval_rate,auto_approval_share,manual_approval_share,deal_rate
1,Apple Search Ads,14,0.00021479640369449814,0,0,0,,2,0,2,0.0,0.0,0.0,,0.0,0.0,,0.06307139591367976,3776.785714285714,1907.142857142857,3525.9946428571425,2961.3396428571427,9342.160595238096,46486.38285714287,9.071428571428571,2.0632640438571426,0.8674051398571428,1.6428571428571428,14,14,14,5,9,14,1.0,1.0,0.35714285714285715,0.6428571428571429,0.35714285714285715,0.6428571428571429,1.0
1,Bing,138,0.002117278836417196,116,8,108,0.06896551724137931,128,6,122,0.046875,9485.92,172050.0,0.05513467015402499,8156.18,172050.0,0.04740587038651555,0.05885104383113171,2718.1159420289855,1439.1304347826087,2623.225096618358,2104.519915458937,9206.192101449275,41917.803953488365,9.825581395348838,3.0586274407674416,0.858688855255814,1.8372093023255813,138,138,138,58,80,138,1.0,1.0,0.42028985507246375,0.5797101449275363,0.42028985507246375,0.5797101449275363,1.0
1,GEO,24,0.0003682224063334254,17,0,17,0.0,23,0,23,0.0,0.0,39225.0,0.0,0.0,39225.0,0.0,0.0616249770611228,3414.5833333333335,1717.7083333333333,2904.815694444444,2420.3553472222216,8598.341736111111,45736.005000000005,9.916666666666666,3.8936994250555554,0.8200882102222222,1.8333333333333333,24,24,24,8,16,24,1.0,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0
1,Google,4689,0.07194145263739299,3709,224,3485,0.0603936370989485,4570,188,4382,0.04113785557986871,244059.28,6250270.0,0.039047797935129205,338305.35,6250270.0,0.05412651773443387,0.05569760698636524,2538.471955640862,1410.4542546385157,2811.8113926210276,2329.111222364399,9318.942128741024,44706.29422488038,9.94665071770335,2.4536016067382773,0.8843338984956938,1.6086124401913875,4689,4689,4689,1976,2713,4689,1.0,1.0,0.4214118148859032,0.5785881851140968,0.4214118148859032,0.5785881851140968,1.0
1,Lead Partner,2173,0.03333947037343889,1882,132,1750,0.07013815090329437,2148,104,2044,0.048417132216014895,166267.27000000002,2976935.0,0.05585183082600057,207211.26,2976935.0,0.06960557083040107,0.05551330829921299,2458.6129774505293,1415.984813621721,2737.4360937260312,2247.4103666206474,9433.475206319987,45986.00522077922,9.773732119635891,2.489021036853056,0.8714643926454546,1.687012987012987,2173,2173,2173,933,1240,2173,1.0,1.0,0.42936033133916246,0.5706396686608376,0.42936033133916246,0.5706396686608376,1.0
1,Meta,78,0.0011967228205836326,66,3,63,0.045454545454545456,73,2,71,0.0273972602739726,3338.4300000000003,98500.0,0.03389269035532995,2115.82,98500.0,0.02148040609137056,0.06177492722930239,3221.7948717948716,1499.3589743589744,3163.5974999999994,2669.236944444444,9308.373055555556,49692.885,9.75,3.1845378725,0.905702712,1.6666666666666667,78,78,78,38,40,78,1.0,1.0,0.48717948717948717,0.5128205128205128,0.48717948717948717,0.5128205128205128,1.0
1,Organic,3467,0.05319279511491608,3188,178,3010,0.055834378920953574,3436,126,3310,0.03667054714784633,196289.15000000002,4479730.0,0.04381718317845049,249982.48,4479730.0,0.055803023842954824,0.06000228745064419,2502.40842226709,1318.244880299971,3074.0417440630704,2556.474735121623,9343.744569272185,43974.48411003236,10.544498381877023,2.4668124080582525,0.8830027686488674,1.6003236245954693,3467,3467,3467,1735,1732,3467,1.0,1.0,0.5004326507066629,0.4995673492933372,0.5004326507066629,0.4995673492933372,1.0
1,Owned Channels,1262,0.01936236153303262,969,77,892,0.07946336429308566,1203,42,1161,0.034912718204488775,94917.91,1737495.0,0.054629170155885344,101631.87,1737495.0,0.05849333091606019,0.05775463782409791,2965.273375594295,1564.9524564183835,2844.4971051241414,2332.0749445324877,9625.210627311146,44101.52768786127,9.333333333333334,2.45225601492471,0.8657763878631984,1.6917148362235068,1262,1262,1262,510,752,1262,1.0,1.0,0.4041204437400951,0.595879556259905,0.4041204437400951,0.595879556259905,1.0
1,Tiktok,9,0.00013808340237503452,9,2,7,0.2222222222222222,9,0,9,0.0,2839.0200000000004,14600.0,0.19445342465753426,0.0,14600.0,0.0,0.07617109961419971,3858.3333333333335,1622.2222222222222,2105.5016666666666,1511.948148148148,8274.280925925925,32289.85,7.0,0.0,1.0,1.0,9,9,9,5,4,9,1.0,1.0,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.4444444444444444,1.0
2,Apple Search Ads,12,0.0001841112031667127,0,0,0,,1,0,1,0.0,0.0,0.0,,0.0,0.0,,0.04514854858133031,1914.5833333333333,1166.6666666666667,1616.5788888888885,1317.5626388888888,6907.226805555555,34514.943333333336,8.0,2.7400279538333336,0.9351152527499998,1.3333333333333333,12,12,12,4,8,12,1.0,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0
