primary_model_score_bin,conversion_stage,sample_cnt,sample_pct,duedate_3m_30_valid_cnt,duedate_3m_30_bad_cnt,duedate_3m_30_good_cnt,duedate_3m_30_bad_rate,duedate_1m_5_valid_cnt,duedate_1m_5_bad_cnt,duedate_1m_5_good_cnt,duedate_1m_5_bad_rate,duedate_3m_30_amount_overdue_amount,duedate_3m_30_amount_principal_amount,duedate_3m_30_amount_overdue_rate,duedate_1m_5_amount_overdue_amount,duedate_1m_5_amount_principal_amount,duedate_1m_5_amount_overdue_rate,avg_PTI,avg_requested_loan_amount,avg_total_amount,avg_gross_surplus,avg_net_surplus,avg_total_income,avg_bank_txn_industry_primary_industry_amt,avg_bank_txn_industry_pay_interval_median,avg_bank_txn_industry_pay_interval_std,avg_bank_txn_industry_primary_employer_ratio,avg_bank_txn_industry_employer_cnt,apply_cnt,completed_application_cnt,approved_application_cnt,auto_approved_application_cnt,manual_approved_application_cnt,deal_sample_cnt,completion_rate,approval_rate,auto_approval_rate,manual_approval_rate,auto_approval_share,manual_approval_share,deal_rate
1,approved_and_deal,11854,0.18187118352818435,9956,624,9332,0.06267577340297308,11592,468,11124,0.040372670807453416,717196.98,15768805.0,0.045482012111887994,907402.9600000002,15768805.0,0.057544180424578796,0.057254783944661665,2569.549181710815,1403.2356166694788,2878.967859794162,2380.8824685057084,9376.190828834147,44752.85936107711,9.920910871694417,2.4750308449723244,0.8788289839855569,1.6362301101591188,11854,11854,11854,5268,6586,11854,1.0,1.0,0.4444069512400877,0.5555930487599122,0.4444069512400877,0.5555930487599122,1.0
2,approved_and_deal,13246,0.20322808309552304,11052,951,10101,0.08604777415852334,12936,658,12278,0.050865800865800864,948864.1099999999,14566889.0,0.06513841836784778,1144584.81,14566889.0,0.07857441695340714,0.05955483815001372,2231.2809149932054,1164.6609542503397,2060.2378294076198,1662.0787771151038,7122.6278748301365,33047.55121956475,10.557315233785822,2.1636458006882275,0.9122700046940314,1.5082956259426847,13246,13246,13246,6020,7226,13246,1.0,1.0,0.45447682319190696,0.545523176808093,0.45447682319190696,0.545523176808093,1.0
3,approved_and_deal,13444,0.2062659179477738,11292,1270,10022,0.1124690046050301,13091,860,12231,0.06569398823619281,1066289.1099999999,12800583.0,0.08330004266211936,1266505.64,12800583.0,0.098941246660406,0.058728987679386044,2026.796861053258,1011.5272984230884,1814.6121620549438,1463.196704849747,6338.858034563125,27858.322606219885,10.550515012053474,2.4661542246524792,0.9153530839829171,1.4960578186596583,13444,13444,13444,5998,7446,13444,1.0,1.0,0.4461469800654567,0.5538530199345433,0.4461469800654567,0.5538530199345433,1.0
4,approved_and_deal,13456,0.2064500291509405,11315,1675,9640,0.14803358373840036,13129,1145,11984,0.08721151649021251,1216936.13,11239689.0,0.1082713347317706,1450890.5100000002,11239689.0,0.1290863572826615,0.05724616146748851,1888.026159334126,881.5609393579073,1708.4681507629807,1395.3568645957193,5802.565757282995,23480.750205061082,10.629617486338798,2.597852302816546,0.9194754328453317,1.4781849912739966,13456,13456,13456,5621,7835,13456,1.0,1.0,0.4177318668252081,0.5822681331747919,0.4177318668252081,0.5822681331747919,1.0
5,approved_and_deal,13178,0.20218478627757833,11292,2690,8602,0.23822174991144174,12954,1795,11159,0.13856723791878955,1449652.25,9070016.0,0.15982907306888985,1776635.31,9070016.0,0.19588006349713166,0.05438802405054409,1684.1146607983003,716.9594020336925,1599.5303417311682,1328.6967354682045,5278.402145368544,18348.581760660247,10.203380087376408,2.872989737134904,0.921283756875745,1.4662998624484183,13178,13178,13178,3995,9183,13178,1.0,1.0,0.30315677644559114,0.6968432235544089,0.30315677644559114,0.6968432235544089,1.0
