primary_model_score_bin,sample_cnt,sample_pct,apply_cnt,completed_application_cnt,approved_application_cnt,auto_approved_application_cnt,manual_approved_application_cnt,deal_sample_cnt,completion_rate,approval_rate,auto_approval_rate,manual_approval_rate,auto_approval_share,manual_approval_share,deal_rate
1,11854,0.18187118352818435,11854,11854,11854,5268,6586,11854,1.0,1.0,0.4444069512400877,0.5555930487599122,0.4444069512400877,0.5555930487599122,1.0
2,13246,0.20322808309552304,13246,13246,13246,6020,7226,13246,1.0,1.0,0.45447682319190696,0.545523176808093,0.45447682319190696,0.545523176808093,1.0
3,13444,0.2062659179477738,13444,13444,13444,5998,7446,13444,1.0,1.0,0.4461469800654567,0.5538530199345433,0.4461469800654567,0.5538530199345433,1.0
4,13456,0.2064500291509405,13456,13456,13456,5621,7835,13456,1.0,1.0,0.4177318668252081,0.5822681331747919,0.4177318668252081,0.5822681331747919,1.0
5,13178,0.20218478627757833,13178,13178,13178,3995,9183,13178,1.0,1.0,0.30315677644559114,0.6968432235544089,0.30315677644559114,0.6968432235544089,1.0
